特徵1,特徵2,真實群
0.5754421119961429,-1.172244912142237,2
-0.682277169159125,-1.9490407773802836,2
0.9819560176552694,-3.4812957439545964,2
2.8462296785137418,3.2499788000582224,1
0.06975595556134885,-2.8524329578813394,2
-0.8339124480418539,-2.0404124739563194,2
-0.6226601007378663,-3.0710671994758068,2
-0.47601730510494356,-2.3374224119872977,2
-2.483073394003213,3.1199577968329795,0
1.1661784271371791,3.5753317530626565,1
0.19368355953101332,-1.9209717256747834,2
2.9495929148937665,3.702473028524417,1
-3.3286320701544665,3.3797920305101754,0
-2.2783003342528345,3.651896083381339,0
-1.9740458617549121,2.841956589659425,0
-0.6435969639636622,-1.4150459164877225,2
0.6743632904710253,-2.211053351144451,2
0.20515073130907685,-3.0000459926184573,2
-3.635616852864848,2.011387409065296,0
0.18191795597389646,-1.9527239897558828,2
-1.0854644017462929,-2.452005917635781,2
3.0421611469587186,4.7242694787397,1
2.629167857363073,3.359287203179349,1
2.7600998384312616,2.4384059115448666,1
-3.4204470829431637,2.7958143751447064,0
1.656860149290671,2.9814402871855483,1
-0.053971196589872934,-2.2611936176283494,2
-2.9527302567184535,2.00267626965058,0
2.664578033508297,2.870038716335328,1
-3.4211946285605777,4.296594729156256,0
-3.805695504195612,3.2629886128419705,0
2.97570176120633,2.1819253736663278,1
-4.207442482759123,2.6063987295313193,0
-2.652300092892137,2.903214989180171,0
-3.9297302342289013,3.1378028651083865,0
3.25297692385589,4.076625596526179,1
-2.8306264099037763,1.6607038287395415,0
-3.381067907167628,3.077645812796906,0
0.009101324314534913,-1.4825261459898782,2
-0.18525978326656925,-0.595881583387267,2
-0.17177168120200934,-3.0276153150502427,2
2.00924048056471,2.705548274064249,1
-0.8658654976146574,-3.4243196291589935,2
-3.587452266255847,2.78355133690415,0
3.06093294776672,2.7906948546738928,1
2.434054477974769,2.6487700694908245,1
-3.708981784234097,3.219973132816692,0
0.5694620521587688,-3.3616050215037685,2
-1.125238264192859,-2.370756299027387,2
0.8110169053051828,-3.074477622846197,2
-2.7731412214236437,2.7304424037085786,0
3.180285273505935,2.947887858963683,1
4.034525831319061,2.637210847208447,1
-3.473845400214171,3.4281734021886074,0
-2.5466180233295153,4.066120899485618,0
-4.034965393257199,2.496109054123704,0
-3.0809537976717682,2.789227413087498,0
2.5085628342858532,2.7706364973815623,1
0.1592219542228906,-1.5850000720023005,2
3.0035794196497227,2.835789006637397,1
0.17534499524211355,-2.257486253352117,2
0.3653590959318283,-2.2921107287367697,2
3.0642325435748514,1.6087017597793751,1
-3.163907362306335,2.8361041301355736,0
2.8653473246532144,3.2110831396335286,1
4.320330130847371,3.122204468982287,1
-2.7594671973020772,1.7658718912460862,0
-2.4242185615277676,2.1454094450202845,0
-0.7436125996082734,-2.168485298555373,2
3.568768075675939,3.949368019999576,1
2.22556551819578,2.1626553631435304,1
0.41079996566018917,-0.9666810619330151,2
3.7999759701605145,3.526353122880742,1
2.887100001833794,3.282835599770177,1
1.3060421578013295,-2.1683169553617487,2
-3.3224471396718513,3.739985558353241,0
2.974921772623034,4.095250559069804,1
-3.3243923849687236,2.67398917250082,0
3.067954284543628,3.6780514933730224,1
-2.768115598017505,3.6828815889856514,0
3.6407814823914517,3.230125776761779,1
-3.0094480573165536,2.2596023497308697,0
3.207284193945203,3.1827386905259223,1
-0.6933754275914819,-2.89640841072194,2
3.2531452175333437,2.548416171776413,1
-1.894551029144826,3.537204310407036,0
-2.853795483496671,1.6282309132841573,0
2.72552429280749,1.975539536307517,1
0.5537223629301328,-3.136571218356317,2
-0.548277304635366,-2.725443061343973,2
