特徵1,特徵2,類別
-3.2299640509553162,693.1402902757111,0
5.73836137747059,189.41368124258827,1
-5.652891747960443,800.0455306758872,0
6.9033019176807375,174.6130447471151,1
4.409045678490754,186.80211957928535,1
4.940470256643153,191.1126028269682,1
-1.5221437285289234,603.9418998586475,0
4.59822471258181,45.66048310378349,1
2.7108989547546285,175.57842513435975,1
-3.8903899159595134,757.2099000170501,0
-2.647975561918639,692.2369354792941,0
3.470260831955316,233.41369667453395,1
5.344107348788426,368.1373147930165,1
-3.1624568924829695,731.7914588680128,0
-0.7504191003468854,699.4683654091582,0
-2.7901816727207533,698.6657423887443,0
3.5365697551475375,306.64727759694233,1
4.9489393050954185,150.70676680170652,1
4.95173818932621,232.90857040588037,1
3.7974151235752784,126.3980086418728,1
-0.6141422444438804,794.816624254545,0
4.228621416395978,80.83495686998316,1
-2.525394292738271,619.6026410760993,0
-0.735724769362931,671.3889493015955,0
4.004166591707655,207.12724829414074,1
-3.2312455577280264,898.9615959687237,0
5.616099497071705,39.690600337598866,1
-2.0755228964426533,868.7944006365988,0
-1.271998196057609,810.5457816910207,0
5.2662087149683785,186.36410334564442,1
-2.4281637774272418,584.3670643793739,0
-3.3215040234199007,779.863813984589,0
-4.103020881730867,740.0415688993016,0
-3.072566886174693,773.2286544401184,0
-2.7728038884577644,755.4256971209934,0
-2.0968556755705965,551.8910353410432,0
-2.5956097689491506,817.4820484535,0
3.3651143797567755,203.318448056236,1
6.32323200935142,23.275872687199595,1
6.011266213646126,230.03914585318887,1
-1.5341666361797126,851.3419329986647,0
4.912830757753056,283.33927912637165,1
-2.120296859778996,684.1749913358992,0
-2.404741141166945,692.4381846111424,0
3.669686512756276,109.68489853114306,1
4.712155088157333,394.324817513846,1
-4.579099022068389,667.1632874487324,0
4.169349052469512,17.356139694575177,1
-3.0842067084670983,703.3196284961393,0
2.779082718948742,164.43562029663718,1
3.4512352460712754,103.48899267339246,1
4.75637189544575,250.8434938064159,1
6.878808249601809,203.34153512279016,1
2.9414339457676046,117.47162372978408,1
-2.552188869984692,871.3486812140103,0
-3.065298854427705,676.4328339131212,0
-1.6230377270582577,737.5942452501029,0
3.8238491703339124,180.14992964271488,1
-2.2188428971735092,537.4679867687171,0
4.759460474333271,109.51991192010343,1
4.995223168705593,182.91488084452794,1
-2.111681505368473,814.7952224596122,0
4.991565804186519,89.27583858472727,1
3.155537983174403,31.08973985916803,1
-4.283424011493663,652.0378462499737,0
3.210314639584923,220.8827211441062,1
-3.5162586509199163,691.4585021741492,0
6.0301935310369865,79.06807215349436,1
2.3373533778692517,155.30824267213373,1
4.446335982228891,196.64245696945426,1
-2.3990846912101476,530.33627445418,0
-3.836799591859984,606.3070543441213,0
-3.061964148204495,822.6266239728817,0
5.5891171726797575,70.55237905496362,1
4.646014984199055,135.33320991124447,1
-2.075234392995589,659.2113938137737,0
-2.2585613090470438,533.0145583634073,0
3.699974885424617,126.93566915951371,1
-3.724594967454059,751.310634185012,0
-3.598826513678203,585.5617349276778,0
